tienda,sucursal,sku,nombre,categoria_url,en_stock,precio_bulto_cerrado,precio_bulto_cerrado_lista,precio_unitario,presentaciones,url_producto,fecha_scrape
maxiconsumo,sucursal_trelew,28084,SALAMIN L.CASONA BAS.PI.FINO 1 kg,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,21319.9,,21319.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/salamin-l-casona-bas-pi-fino-1-kg-28084.html,2026-08-15T15:22:41.426801
maxiconsumo,sucursal_trelew,28851,BONDIOLITAS CAGNOLI X 200 GR 2 UN,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,4009.9,,4009.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/bondiolitas-cagnoli-x-200-gr-2-un-28851.html,2026-08-15T15:22:41.427311
maxiconsumo,sucursal_trelew,5843,CREMA LA PAULINA 350 CC,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,3849.89,,3849.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/crema-la-paulina-350-cc-5843.html,2026-08-15T15:22:41.427627
maxiconsumo,sucursal_trelew,26071,SALAMIN LA CASONA PICADO FINO AV 180 gr,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,2889.89,,2889.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/salamin-la-casona-picado-fino-av-180-gr-26071.html,2026-08-15T15:22:41.427920
maxiconsumo,sucursal_trelew,27193,SALAMIN CHAMPION GRUESO 1 kg,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,15989.9,,15989.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/salamin-champion-grueso-1-kg-27193.html,2026-08-15T15:22:41.428209
maxiconsumo,sucursal_trelew,27029,SALAMIN LA CASONA PICADO GRUESO 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,17369.89,,17369.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/salamin-la-casona-picado-grueso-1-kg-27029.html,2026-08-15T15:22:41.428502
maxiconsumo,sucursal_trelew,27277,SALAMIN LA CASONA BASTON PICADO GRUESO 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,21319.9,,21319.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/salamin-la-casona-baston-picado-grueso-1-kg-27277.html,2026-08-15T15:22:41.428977
maxiconsumo,sucursal_trelew,9408,SALAMIN 214 FINO 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,21749.9,,21749.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/salamin-214-fino-1-kg-9408.html,2026-08-15T15:22:41.429324
maxiconsumo,sucursal_trelew,9409,SALAMIN 214 GRUESO 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,21749.9,,21749.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/salamin-214-grueso-1-kg-9409.html,2026-08-15T15:22:41.429622
maxiconsumo,sucursal_trelew,27274,FIAMBRE LA RESIDENCIA RECTANGULAR 1 kg,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,6629.89,,6629.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/fiambre-la-residencia-rectangular-1-kg-27274.html,2026-08-15T15:22:41.429918
maxiconsumo,sucursal_trelew,12297,FIAMBRE DE CERDO 214 PATA 1 KG,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,11899.9,,11899.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/fiambre-de-cerdo-214-pata-1-kg-12297.html,2026-08-15T15:22:41.430211
